Num,SongName,Set,Order,Length,JoshTuning,MarkTuning,TomTuning
1,Claire,1,7,2:36,D,D,E
2,Hux,1,8,4:24,D,E,E
3,Juice,1,4,2:21,D,D,D
4,Mr Power,1,3,3:16,D,D,D
5,No Sweat,1,6,2:53,D,D,E
6,Tame Times,2,4,2:37,E,E,E
7,The Pillage People,1,5,5:22,D,D,D
8,Drive,1,1,2:53,D,D,E
9,Space Between,1,2,4:06,D,D,E
10,Five Star,2,7,2:34,E,E,C sharp
11,John Danger,2,1,3:09,E,E,E
12,No Intelligent Life,2,3,3:20,E,E,E
13,Out There,2,2,2:34,E,E,E
14,Riffy,2,6,4:41,E,E,C sharp
15,I'm Going Down,2,5,2:25,E,E,E
